"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 20 21:07:02 IST 2024","Sat Jul 20 21:07:09 IST 2024","7119","chromium","Testcases\rightclick.spec.js","","","","press button",""
"failed","Sat Jul 20 21:07:02 IST 2024","Sat Jul 20 21:07:06 IST 2024","3356","chromium","Testcases\BasicComponent.spec.js","","","","table handling",""
